INFO:root:Blob add op (0, 0, 255)+(0, 255, 0)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,414)+Blob of color(0, 0, 255),size5,location(346,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,420)+Blob of color(0, 0, 255),size7,location(338,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,414)+Blob of color(0, 0, 255),size5,location(345,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,420)+Blob of color(0, 0, 255),size7,location(337,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,415)+Blob of color(0, 0, 255),size5,location(346,420)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(347,419)+Blob of color(0, 0, 255),size7,location(336,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(336,415)+Blob of color(0, 0, 255),size5,location(347,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(349,421)+Blob of color(0, 0, 255),size7,location(338,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,417)+Blob of color(0, 0, 255),size5,location(349,421)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(631,240)+Blob of color(0, 255, 0),size5,location(633,229)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(347,376)+Blob of color(0, 0, 255),size6,location(353,367)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(353,367)+Blob of color(0, 0, 255),size5,location(347,376)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(347,376)+Blob of color(0, 0, 255),size6,location(352,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,368)+Blob of color(0, 0, 255),size5,location(347,376)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,375)+Blob of color(0, 0, 255),size6,location(351,369)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(351,369)+Blob of color(0, 0, 255),size5,location(346,375)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,375)+Blob of color(0, 0, 255),size6,location(352,370)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,370)+Blob of color(0, 0, 255),size5,location(345,375)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,374)+Blob of color(0, 0, 255),size6,location(352,369)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,369)+Blob of color(0, 0, 255),size5,location(344,374)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,375)+Blob of color(0, 0, 255),size6,location(352,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,368)+Blob of color(0, 0, 255),size5,location(344,375)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,374)+Blob of color(0, 0, 255),size6,location(351,367)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(351,367)+Blob of color(0, 0, 255),size5,location(343,374)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,374)+Blob of color(0, 0, 255),size6,location(350,366)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,366)+Blob of color(0, 0, 255),size5,location(343,374)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,374)+Blob of color(0, 0, 255),size6,location(350,367)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,367)+Blob of color(0, 0, 255),size5,location(343,374)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,373)+Blob of color(0, 0, 255),size6,location(350,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,368)+Blob of color(0, 0, 255),size5,location(343,373)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,373)+Blob of color(0, 0, 255),size6,location(349,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(349,368)+Blob of color(0, 0, 255),size5,location(344,373)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,372)+Blob of color(0, 0, 255),size6,location(348,367)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(348,367)+Blob of color(0, 0, 255),size5,location(344,372)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,372)+Blob of color(0, 0, 255),size6,location(347,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(347,368)+Blob of color(0, 0, 255),size5,location(344,372)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,372)+Blob of color(0, 0, 255),size6,location(348,367)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(348,367)+Blob of color(0, 0, 255),size5,location(343,372)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,373)+Blob of color(0, 0, 255),size6,location(349,366)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(349,366)+Blob of color(0, 0, 255),size5,location(343,373)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,372)+Blob of color(0, 0, 255),size6,location(349,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(349,365)+Blob of color(0, 0, 255),size5,location(343,372)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,372)+Blob of color(0, 0, 255),size6,location(350,366)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,366)+Blob of color(0, 0, 255),size5,location(344,372)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,371)+Blob of color(0, 0, 255),size6,location(350,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,365)+Blob of color(0, 0, 255),size5,location(344,371)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,370)+Blob of color(0, 0, 255),size6,location(351,364)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(351,364)+Blob of color(0, 0, 255),size5,location(343,370)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,369)+Blob of color(0, 0, 255),size6,location(351,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(351,365)+Blob of color(0, 0, 255),size5,location(344,369)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,368)+Blob of color(0, 0, 255),size6,location(350,366)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,366)+Blob of color(0, 0, 255),size5,location(343,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,369)+Blob of color(0, 0, 255),size6,location(349,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(349,365)+Blob of color(0, 0, 255),size5,location(344,369)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,370)+Blob of color(0, 0, 255),size6,location(349,364)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(349,364)+Blob of color(0, 0, 255),size5,location(344,370)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,371)+Blob of color(0, 0, 255),size6,location(350,364)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(350,364)+Blob of color(0, 0, 255),size5,location(343,371)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,370)+Blob of color(0, 0, 255),size6,location(351,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(351,365)+Blob of color(0, 0, 255),size5,location(344,370)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,370)+Blob of color(0, 0, 255),size6,location(352,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,365)+Blob of color(0, 0, 255),size5,location(343,370)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(344,369)+Blob of color(0, 0, 255),size6,location(352,364)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,364)+Blob of color(0, 0, 255),size5,location(344,369)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,368)+Blob of color(0, 0, 255),size6,location(352,364)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,364)+Blob of color(0, 0, 255),size5,location(343,368)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,369)+Blob of color(0, 0, 255),size6,location(352,365)
INFO:root:Blob add op Blob of color(0, 0, 255),size6,location(352,365)+Blob of color(0, 0, 255),size5,location(343,369)
